"name","type","breed","color","sex","size","date_of_birth","impound_number","kennel_number","id","intake_date","outcome_date","days_in_shelter","intake_type","intake_subtype","outcome_type","outcome_subtype","intake_condition","outcome_condition","intake_jurisdiction","outcome_jurisdiction","zip_code","location","intake_total"
"ROSIE","DOG","CHIHUAHUA LH","BLACK/WHITE","Spayed","SMALL","2012-08-19T00:00:00.000","K22-043173","TX","A389282","2022-11-19T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"SANTA ROSA","SANTA ROSA","95401","
,  95401
(38.446019, -122.766748)","1"
"ANDROMEDA","DOG","GERM SHEPHERD","BLACK/TAN","Spayed","LARGE","2015-10-17T00:00:00.000","K22-043194","DQ117","A413710","2022-11-23T00:00:00.000",,"0","QUARANTINE","FIELD",,,"UNKNOWN",,"SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"YODA","DOG","SIBERIAN HUSKY","WHITE/BLACK","Male","LARGE",,"K22-043187","DS59","A414231","2022-11-22T00:00:00.000","2022-11-23T00:00:00.000","1","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","UNKNOWN","PENDING","COUNTY","COUNTY","95404","
,  95404
(38.458384, -122.675588)","1"
,"CAT","DOMESTIC SH","TORTIE","Unknown","SMALL",,"K22-043178","COOLER","A414213","2022-11-21T00:00:00.000","2022-11-23T00:00:00.000","2","QUARANTINE","FIELD","DISPOSAL","FRA","UNKNOWN","DEAD","COUNTY",,,,"1"
"NOVA","DOG","GOLDEN RETR","GOLD","Female","MED","2013-12-22T00:00:00.000","K22-043191","TRUCK","A331042","2022-11-23T00:00:00.000","2022-11-23T00:00:00.000","0","STRAY","FIELD","RETURN TO OWNER","FLD_PRVS","UNKNOWN","HEALTHY","COUNTY","COUNTY","95436","
,  95436
(38.47569, -122.89487)","1"
,"CAT","SIAMESE/MIX","LYNX PT","Female","SMALL",,"K22-043196","CS06","A414239","2022-11-23T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
,"CAT","DOMESTIC SH","BRN TABBY/WHITE","Male","SMALL",,"K22-043193","COOLER","A414236","2022-11-23T00:00:00.000","2022-11-23T00:00:00.000","0","STRAY","FIELD","EUTHANIZE","INJ SEVERE","UNKNOWN","TREATABLE/REHAB","COUNTY",,,,"1"
,"DOG","SHIH TZU/MIX","WHITE","Female","SMALL",,"K22-043192","DS94","A414234","2022-11-23T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"COUNTY",,,,"1"
,"CAT","DOMESTIC SH","GRAY/WHITE","Neutered","SMALL",,"K22-043132","CS06","A414152","2022-11-15T00:00:00.000","2022-11-23T00:00:00.000","8","STRAY","OVER THE COUNTER","EUTHANIZE","CON SEVERE","UNKNOWN","UNTREATABLE","SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"KOFFEE","DOG","GERM SHEPHERD","BLACK/TAN","Neutered","LARGE","2021-10-17T00:00:00.000","K22-043195","DQ116","A413709","2022-11-23T00:00:00.000",,"0","QUARANTINE","FIELD",,,"UNKNOWN",,"SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"THUMPER","DOG","SIBERIAN HUSKY","WHITE/GRAY","Male","MED","2019-03-24T00:00:00.000","K22-043188","DS74","A398062","2022-11-22T00:00:00.000","2022-11-23T00:00:00.000","1","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","UNKNOWN","PENDING","COUNTY","COUNTY","95404","
,  95404
(38.458384, -122.675588)","1"
"*WRINKLES","DOG","PIT BULL/MIX","TAN/WHITE","Neutered","LARGE","2013-11-23T00:00:00.000","K22-042932","DA30","A413846","2022-10-23T00:00:00.000",,"0","CONFISCATE","FLD_ABAND",,,"TREATABLE/REHAB",,"SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"*GOLIATH","DOG","GERM SHEPHERD/MIX","BLACK/BROWN","Neutered","LARGE","2019-10-19T00:00:00.000","K22-042632","DA06","A413418","2022-09-26T00:00:00.000","2022-11-23T00:00:00.000","58","STRAY","FIELD","ADOPTION","WALKIN","TREATABLE/MANAGEABLE","HEALTHY","COUNTY",,"94920","
,  94920
(37.8737, -122.45613)","1"
"T","CAT","DOMESTIC SH","ORG TABBY","Neutered","MED","2009-08-01T00:00:00.000","K22-043208","COOLER","A364338","2022-11-26T00:00:00.000",,"0","QUARANTINE","FIELD",,,"UNKNOWN",,"COUNTY","SANTA ROSA","95401","
,  95401
(38.446019, -122.766748)","1"
"*JADE","DOG","PIT BULL","TAN/WHITE","Spayed","MED","2021-10-27T00:00:00.000","K22-042635","DA13","A413422","2022-09-27T00:00:00.000","2022-11-26T00:00:00.000","60","STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
,"OTHER","GUINEA PIG","TRICOLOR","Female","SMALL","2018-10-15T00:00:00.000","K22-042834","LOBBY","A413704","2022-10-15T00:00:00.000","2022-11-26T00:00:00.000","42","STRAY","OVER THE COUNTER","ADOPTION","SCAS WEB","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
